Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%,Tm,Salary,Cap Hit
Evgeni Malkin,20232024,PIT,L,C,79,25,38,63,7,68,0.8,20,47,5,16,0,0,0,2,189,13.2,18:34,48.4,PIT,6000000,6100000
Evgenii Dadonov,20232024,DAL,L,R,50,12,11,23,-7,6,0.46,11,21,1,2,0,0,0,3,66,18.2,13:09,0,NA,NA,NA
Evgeny Kuznetsov,20232024,"WSH,CAR",L,C,60,8,16,24,-9,30,0.4,7,17,1,7,0,0,0,1,94,8.5,17:45,45.2,CAR,3000000,3900000
Fabian Zetterlund,20232024,SJS,R,L,79,22,20,42,-30,31,0.53,16,26,5,15,1,1,0,0,197,11.2,18:51,33.3,SJS,1400000,1450000
Filip Forsberg,20232024,NSH,R,L,79,43,46,89,15,43,1.13,33,60,10,29,0,0,3,10,331,13,18:59,50,NSH,10000000,8500000
Filip Hronek,20232024,VAN,R,D,79,5,43,48,34,38,0.61,3,37,2,11,0,0,0,0,146,3.4,23:31,--,VAN,5500000,4400000
Filip Zadina,20232024,SJS,L,R,72,13,10,23,-44,18,0.32,10,19,3,4,0,0,0,3,137,9.5,13:20,22.1,SJS,1100000,1100000
Frank Vatrano,20232024,ANA,L,R,79,33,23,56,-21,81,0.71,19,34,12,19,2,3,2,7,266,12.4,18:24,34.6,ANA,3650000,3650000
Frederick Gaudreau,20232024,MIN,R,C,65,5,10,15,-21,12,0.23,3,8,2,7,0,0,0,1,102,4.9,14:02,50.1,NA,NA,NA
Gabriel Vilardi,20232024,WPG,R,C,44,20,14,34,9,10,0.77,12,21,8,13,0,0,0,5,113,17.7,17:01,45.6,WPG,3275000,3437500
Garnet Hathaway,20232024,PHI,R,R,80,7,10,17,-6,132,0.21,6,14,0,0,1,3,0,1,102,6.9,12:23,66.7,PHI,1700000,2375000
Gustav Forsling,20232024,FLA,L,D,77,10,28,38,51,41,0.49,9,36,1,2,0,0,1,1,157,6.4,22:02,--,FLA,3500000,2666667
Gustav Nyquist,20232024,NSH,L,C,79,22,50,72,8,8,0.91,16,48,5,22,1,2,0,4,149,14.8,17:47,37.8,NSH,3185000,3185000
Hampus Lindholm,20232024,BOS,L,D,70,3,23,26,17,63,0.37,2,21,1,5,0,0,0,0,98,3.1,23:20,--,BOS,6000000,6500000
Hendrix Lapierre,20232024,WSH,L,C,48,8,13,21,0,4,0.44,8,19,0,2,0,0,0,1,50,16,11:29,37.6,WSH,832500,863333
Henri Jokiharju,20232024,BUF,R,D,72,3,16,19,12,24,0.26,3,18,0,0,0,1,1,1,83,3.6,18:56,--,BUF,2600000,2500000
